Disease ,Gender,Age,Sym1,Sym2,Sym3,Sym4,Sym5,Sym6,Sym7,Sym8,Sym9,Sym10,Sym11,Sym12,Sym13,Sym14,Sym15
Hepatoportal Microvascular Dysplasia,both,five,Staggering,Pacing,Vomiting,Nausea,Increased water consumption,Increased urination,,,,,,,,,
Mushroom Toxicoses ,both,common,Psychoactive species,dried product remains toxic,Psychoactive species,Psychoactive species,combined mushroom,Psychoactive species,Psychoactive species,,,,,,,,
Cerebellar Hypoplasia ,both,common,Symmetrical,head bobbing,limb Tremors,aggravated disappear during sleep,Cerebellar ataxia,wide-base stance,Dysmetria and disequilibrium,,,,,,,,
Aortic Thromboembolism ,both,ten,Absent or diminished femoral pulse,Anxiety,Coughing,Difficulty rising,Exercise intolerance,Coughing,Hypothyroidism,Weakness,Lowered body temperature,Respiratory distress,Sudden paralysis and pain,Toe wounds,Unusual Vocalizations,Weakness,
Inflammatory Bowel Disease,both,five,Diarrhea,Weight loss,Fatigue,Depression,Vomiting,Gas,Abdominal pain,Rumbling and gurgling abdominal sounds,Bright red blood in stool,Distressed coat hair,,,,,
Iris Atrophy,both,common,Anisocoria,Dull appearance in the color of the eye,Change in shape of the pupil,Mild sensitivity to bright light,Holes in the iris,Fixed and dilated pupil,Iris thinning,,,,,,,,
Ovarian Tumors,both,common,vulvar enlargement,vaginal discharge,persistent estrus (menstruation and heat),pyometra (pus in the uterus),Lethargy,Lack of appetite,Weight loss,thinning of the haircoat,,,,,,,
Malignant Fibrous Histiocytoma ,both,common,Anorexia,Weight loss,Lethargy,Firm,arising in subcutaneous tissue,underlying skeletal muscle,induce bone destruction and proliferation,dorsal thoracic and scapular area and pelvic region,,,,,,,
Cholelithiasis ,both,common,May be Asymptomatic,causing intermittent,Vomiting,meal-related discomfort,Abdominal pain,fever,Jaundice,Episodic vague peri- or postprandial,Abdominal pain,,,,,,
Beta Blocker Toxicosis ,both,common,Bradycardia,Hypotension,AV block,Decreased mentation,Respiratory distress or bronchospasm,Seizures,Coma,,,,,,,,
Pneumothorax,both,common,Traumatic recent Trauma,thoracocentesis,jugular venipuncture,lung aspirate,thoracotomy,mechanical ventilation,neck surgery,Recent anesthesia,Spontaneous,Respiratory distress,Shallow,rapid abdominal breathing common,Decreased to absent breath sounds dorsally,Cyanosis,Tachycardia
Pericardial Effusion,male,fifteen,Lethargy,Anorexia,Weakness,Exercise intolerance,Abdominal distension,Respiratory distress occasionally Coughing,Syncope or collapse.,Vomiting,Jugular vein distension,Ascites,Muffled heart sounds,Weak arterial pulses,Pulsus paradoxus,Pallor,weak pulse
Hepatozoonosis,both,common,Fever,Depression,Weight loss,Muscle atrophy,Soreness,Stiffness,Eye discharge,Diarrhea,Joint pain,Generalized pain,,,,,
Acute Respiratory distress Syndrome,both,common,Severe Respiratory distress,Crackles heard bilaterally on auscultation,Fever,Cyanosis,Coughing,,,,,,,,,,
Chocolate Toxicosis ,both,common,Ingestion,chewed containers,Vomiting,increased activity,,,,,,,,,,,
Shoulder and Joint Ligament and Tendon Conditions,both,five,difficulty getting up,difficulty walking without a limp,avoid walking altogether,swelling,Depression,Lethargy,,,,,,,,,
Interstitial Cell Tumor Testicle,both,fifteen,Blood in the peritoneal cavity,Blood in the urine,Enlarged scrotum,Infertility,Spermatic cord torsion,Swelling of either or both testicles,Unexplained growth or tumor on testicles,,,,,,,,
HemangiosarComa-Heart,male,ten,Fainting,Weakness,Lethargy,Lack of appetite,Vomiting,Coughing,Collapse,,,,,,,,
Hiatal Hernia,male,five,Regurgitation,Coughing,Nasal discharge,Hypersalivation,Weight loss,Shortness of breath,Lack of appetite,,,,,,,,
Coccidioidomycosis ,both,common,Coughing,Fever,Anorexia,Weight loss,Lameness,Seizures,paraparesis,back and Neck Pain,Visual changes,,,,,,
Atrial Wall Tear,both,five,Weakness,Collapse,Coughing,Difficult breathing,Increased heart rate,Weakened pulse,Heart murmurs,arrhythmia or common,,,,,,,
Primary Ciliary Dyskinesia,both,common,Sneezing,Nasal discharge,Coughing,Exercise intolerance,Dramatic initial response,Bilateral mucopurulent Nasal discharge,Productive Coughing,Tachypnea,dyspnea,Diffuse increase in lung sounds,Heart sounds can be inaudible,,,,
Chediak-Higashi Syndrome ,both,common,Red fundic reflex,lack of choroidal pigment,yellow-green irises,epiphora in bright light,,,,,,,,,,,
Bile Duct Carcinoma ,female,ten,Lethargy,Lack of appetite,Weight loss,Excessive urination,Excessive thirst,Vomiting,yellowing of skin eyes,Ascites or fluid accumulation,Anorexia,Polydipsia and polyuria,Icterus,Abdominal distension,,,
Dental Caries,both,common,Dark discoloration,Bad Odor and softened enamel and dentin,painful underlying tooth,lined by dark and soft necrotic dentin,,,,,,,,,,,
Tetanus,both,common,Curled lips,Clenched jaw,Trouble swallowing,Drooling,Stiffness,Difficulty walking,Muscle Tremors or spasms,Unable to bend legs,Difficulty breathing,,,,,,
Ectropion,both,five,Protrusion of the bottom eyelid,exposing tissue below the eyeball,below the eyes stained a brownish color by tear,Redness and other signs of irritation,Pink eye,Pawing at the eye,Discomfort,,,,,,,,
Pododermatitis,male,common,Environment and general husbandry,unsanitary conditions,Trauma,contact irritants,hookworms,atopic dermatitis,allergic contact dermatitis or irritant contact dermatitis,Lesions,Lesions,illness,Response to previous therapy,antibiotics,antifungals and corticosteroids,Infectious,Erythema
Strongyloidiasis,both,common,Diarrhea,Diarrhea,Weight loss,Reduced growth in puppies,Pneumonia in puppies,Weakness,Lack of appetite,Intestinal inflammation,Fever,Shallow rapid breathing,,,,,
Neonatal Mortality,both,common,Low birth weight,loss of weight and appetite,Weakness,Poor suckling,failure to receive response,Constantly vocal or restless or quiet and inactive later,Tendency to remain,separate from the dam and the rest of the litter,Low Agpar scores at birth,bluish ventral abdominal skin,Swollen red or purulentrumbilical,Gross anatomic defects,Hair coat,Dilated pupils,Respiratory distress
Bartonellosis ,male,common,Collapse,Depression,Diarrhea,Lymph node,Fever,Heart murmurs or arrhythmias,membranes around the heart and brain,Weight loss,Lameness,Lethargy,Nasal discharge and Bleeding,,Vomiting,Weakness,Endocarditis
Hepatitis-Infectious Canine,both,five,Lack of appetite,Fever,Lethargy,Vomiting,Diarrhea,Hepatomegaly,Abdominal pain,Runny eyes and nose,Coughing,Excessively thirsty,,,,,
Congenital Spinal and Vertebral Malformations ,both,five,Distortion of the spinal column,Lordosis,kyphosis,Ataxia,Signs vary with spinal cord segment involved,,,,,,,,,,
Degenerative Myelopathy,both,ten,Swaying in the hind end when standing,Easily falls over if pushed,Wobbling,Knuckling of the paws when trying to walk,Feet scraping on the ground when walking,Abnormally worn toenails,Difficulty walking,Difficulty getting up from a sitting,Falling down when walking or standing,Inability to walk,Paralysis of the hind limbs,Difficulty with swallowing and tongue movements,Urinary and fecal incontinence,limbs,
Leishmaniasis,both,common,Exercise intolerance,Weight loss,Anorexia,Diarrhea,Vomiting,epistaxis,Melena,Lesions,emaciation,neuralgia,Polyarthritis,polymyositisn,Lesions,fever,Fever
Bronchiectasis ,both,ten,Chronic,hemoptysis,Fever,Exercise intolerance,Tachypnea,Chronic,particularly with primary ciliary dyskinesia,Moist,harsh inspiratory crackles,loud expiratory lung sounds,Tracheal hypersensitivity,,,,
Coonhound Paralysis ,both,common,Appear 7?14 days after contact with raccoon saliva,bite or scratch,receipt of a vaccination,gastrointestinal infection,Initial signs,stiff,stilted gait in all limbs,typically starting in the pelvic limbs,Rapid progression (2?4 days) to a flaccid,ower motor neuron tetraparesis to tetraplegia,loss or change of voice,water consumption,Urination,Blindness,
Demodicosis,both,common,Hair loss in patches,Rubbing their face or head,Redness or inflammation of the skin,Excessive oil on the skin,Crusting on the skin,Paws that are swelling,,,,,,,,,
Dyschezia and Hematochezia,both,common,Vomiting,Dilated pupils,Low or absent anal tone,Diarrhea,Straining,Difficulty urinating or defecating,Distended bladder,Decreased tear production,Protrusion of third eyelid,,,,,,
Shock-Hypovolemic,both,common,Weakness,Cool feet,Poor pulse,Very low blood pressure,Lethargy,Hyperventilation,Respiratory failure,Hemorrhage,,,,,,,
Perianal Fistula,both,ten,Dyschezia,Tenesmus,Hematochezia,Constipation,Diarrhea,MalOdorous,Ulceration of the perianal skin with sinus tract formation,Licking and self-mutilation,Reluctance to sit,posturing difficulties,personality changes,Pain on manipulation perianal area,Fecal incontinence,Anorexia,Weight loss
Amebiasis,both,common,Listlessness,Halitosis,Weakness,Vomiting,Diarrhea,Dry spots or sores on the nose and legs,Oral mucus membranes,A severe case also documented hair loss,brittle hair shafts and hardened skin on the neck,,,,,,
Constipation and Obstipation ,both,common,Straining to defecate with small or no fecal volume,Hard or dry feces,Infrequent defecation,Small amount of liquid and mucoid,stool,Tenesmus,Vomiting,inappetence and Lethargy,,,,,,,
Rabies,both,common,Disorientation,Incoordination,staggering may occur,caused by paralysis of the hind legs,Loss of Appetite,Weakness,Seizures,Sudden death,,,,,,,
Episcleritis,both,common,Red eye,Irritated eye,Inflammation in eye,Alteration in clarity of eye,Lesions,translucent inner eyelid,Pink eye,,,,,,,,
Legg-Calve-Perthes,both,five,Lameness,weight-bearing occasionally leg is carried,Pain on manipulation of the hip,Crepitation of the joint,Atrophy of the thigh muscles,,,,,,,,,,
Myocardial Tumors,both,ten,Collapse,Abdominal distention,Exercise intolerance,Dyspnea,Anorexia,Vomiting,Diarrhea,Acute death,,,,,,,
Dermatoses-Sterile Nodular,both,five,Occasionally painful,Fever,Inappetence,Lethargy,Multiple lesions,,,,,,,,,,
Pyelonephritis,both,common,Maybe Asymptomatic,Polyuria or Polydipsia,Abdominal or lumbar pain,Signs associated with lower urinary tract,infection,Dysuria,Pollakiuria,periuria Stranguria,MalOdorous,Pain upon palpation of kidneys,Fever,,,,
Myoclonus ,both,common,bout of gastrointestinal,Coughing,persists at rest and even during sleep or light anesthesia,consistent frequency in a given patient,distemper diagnosis,Chronic,Familial reflex myoclonus observed,limbs and neck and head,patient unable to rise without assistance,With spongy degeneration,,,,,
Tetanus,both,common,Curled lips,Clenched jaw,Trouble swallowing,Drooling,Stiffness,Difficulty walking,Muscle Tremors or spasms,Unable to bend legs,Difficulty breathing,,,,,,
Coonhound Paralysis ,both,common,Appear 7?14 days after contact with raccoon saliva,bite or scratch,receipt of a vaccination,gastrointestinal infection,Initial signs,stiff,stilted gait in all limbs,typically starting in the pelvic limbs,Rapid progression (2?4 days) to a flaccid,ower motor neuron tetraparesis to tetraplegia,loss or change of voice,water consumption,Urination,Blindness,
Pulmonary Thromboembolism,both,common,Often reflect the primary disease process,fever,peracute dyspnea,Anorexia,Syncope,Collapse,Coughing,,,,,,,,
Right Bundle Branch Block,both,common,Exercise intolerance,Weakness,Lethargy,Fainting,Increased breathing rate,Fluid in the abdomen,,,,,,,,,
Baylisascariasis ,both,common,Intestinal form-none,Weakness,ataxia,dysphagia,circling,recumbency,,,,,,,,,
Keratitis - Nonulcerative ,female,common,Chronic,usually bilateral,cornea vascularization ranging from superficial,lateral or ventrolateral cornea,thickened and depigmented third eyelids,leading edge of corneal lesion,may lead to Blindness,Pigmentary keratitis,appears as focal to diffuse,brown discoloration of the cornea,corneal vascularization or scarring,Pigmentary keratopathy,brown corneal pigmentation,,
Hypopituitarism,both,five,Hair loss on sides,No permanent teeth,Small penis and testicles,Irregular or no heat cycles,Lethargy,Mental deterioration,Weight loss,Death,Thin and hypotonic skin,,,,,,
Ventricular Tachycardia ,both,common,Syncope,Weakness,Exercise intolerance,Sudden death,May be Asymptomatic,arrhythmia is paroxysmal,Tachycardia,Femoral pulses,arrhythmia,,,,,,
Hemothorax,both,common,Weakness,Collapse,Labored breathing,Rapid breathing,Lethargy,Low tolerance to exercise,Bluish skin and gums,,,,,,,,
Ectopic Ureter,female,five,urine leaking,Discolored fur around the vulva,Licking of the genital area,Irritation from urine,Recurrent urinary tract infections,,,,,,,,,,
Taurine Deficiency,both,common,Panting,Collapsing or fainting,Blood in the urine,Pain during urination,Abdominal pain,Moderate to severe Blindness,,,,,,,,,
Protothecosis,female,common,diarrhea,Weight loss,Acute onset Blindness,Neurologic disease,deafnes,Seizures,ataxia,Lesions,Gastrointestinal,ocular or neurologic,Weight loss,Hemorrhagic colitis,Vomiting,Anorexia,Blindness
Ileus,both,five,Struggling to have a bowel,Reluctant to have a bowel movement,Constipation,Thin ribbon like stool,Absence of intestinal noise,Vomiting,Abdominal pain,Abdominal distention,Weight loss,Lack of appetite,Palpable lump,,,,
Zinc Toxicosis ,both,common,Anorexia,Vomiting,Diarrhea,Lethargy,Pale or icteric mucous membranes,Hemoglobinemia,Hemoglobinuria,Orange-tinged feces,Tachycardia,,,,,,
Azotemia and Uremia,both,common,Weight loss,Anorexia,Reduced activity,Depression,Fatigue,Weakness,Vomiting,Diarrhea,Halitosis,Constipation,Polyuria,Changes in urine volume,Poor haircoat,,
Pneumonia-Interstitial,both,common,Tachypnea,Coughing,respiratory difficulty,Exercise intolerance,Open mouth breathing,end inspiratory and early expiratory crackles,orthopnea,Cyanosis,hemoptysis,Vomiting,Oliguria,Diarrhea,Retinitis,Uveitis,difficult to breath
Vaginal Tumors ,both,fifteen,Extraluminal slow-growing perineal mass,Vulvar discharge,Dysuria,Pollakiuria,vulvar licking,dystocia,Intraluminal mass protruding from the vulva,Stranguria,tenesmus,,,,,,
Melanocytic Tumors - Oral ,both,common,Excessive salivation,Halitosis,Dysphagia,Bloody,Weight loss,Oral mass often friable,Loose teeth,Facial deformity,Regional lymphadenomegaly,Pain or discomfort,,,,,
Immunodeficiency Disorders-Primary,male,five,Diarrhea,Lethargy,Weakness,Loss of Appetite,Lesions,Pain within the joints,Lameness,Anemia,Recurrent illnesses,Vomiting,Seizures,,,,
Apudoma,both,ten,Weight loss,Vomiting,Vomiting,Diarrhea,Depression,Lethargy,Pain in the abdomen,Dried blood in the stool (Melena),Fresh blood in the stool,Acid reflux,Ulcers,Gastritis,,,
Hypoadrenocorticism ,female,common,Depression,Lethargy,Lack of appetite,Weight loss,Vomiting,Diarrhea,Bloody,Hair loss,Increased urination,Increased thirst,Dehydration,Shaking,Weak pulse,Irregular heart rate,Low temperature
Ehrlichiosis,both,five,Fever,Lethargy,Loss of Appetite,Weight loss,Abnormal Bleeding,Lymph node,Enlarged spleen,Stiffness,Coughing,Discharge from the eyes and nose,Vomiting,Inflammation of the eye,Incoordination,Depression,paralysis
Lysosomal Storage Diseases ,both,common,,Vary with severity of the enzyme deficiency,predominate,Affected animals are normal at birth,mucopolysaccharidoses,Neurologic,,,,,,,,,
Vaginal Hyperplasia and Prolapse ,both,five,Onset of proestrus or estrus,parturition,Licking of vulvar area,Failure to allow copulation,Dysuria,Previous occurrence,Protrusion of round,tongue-shaped or donut-shaped tissue mass,Vaginal examination ocate lumen and urethral orifice,Tissue may be dry or necrotic.,,,,,
Uterine Inertia ,both,common,failure of gestation,Asymptomatic except,fetal heart rates decline with delay in intervention,contractions cease despite,may deliver part of litter and then stop,fetal heart rates decline with delay in intervention,,,,,,,,,
Pyruvate Kinase Deficiency,both,common,Lethargy,Pale mucous membranes,Often Splenomegaly,Tachycardia,Systolic heart murmurs reported in dogs,Icterus is occasionally seen in cats but rarely seen in dogs,Weakness,Diarrhea,inappetence,poor coat quality and weight loss,,,,,
Gallbladder Mucocele,both,common,Loss of Appetite,Lethargy,Vomiting,Diarrhea,Lack of appetite,Jaundice,Abdominal discomfort or pain,Fever,Abdominal distension,Dehydration,Excessive urination,Excessive thirst,Collapse,,
Hyperadrenocorticism,female,common,Increased thirst,Increased urination,Increased appetite,Reduced activity,Excessive Panting,Thin or fragile skin,Hair loss,Recurrent skin infections,Enlargement of the abdomen,,,,,,
Patellar Luxation,both,common,limbing,Occasional skipping,Lameness,patella,patella can be manually displaced,extends the stifle joint,Patient intermittently carries,patella remains luxated most of the time,reluxation of the patella,patella is permanently luxated,shallow or missing femoral trochlea,crouching,bowlegged,Lameness,Pain
